"","collegename","location"
"1","Hindustan Institute of Maritime Training (HIMT)","Chennai"
"2","Infant Jesus College of Engineering, Tuticorin","Chennai"
"3","Kongu Engineering College, Erode","Chennai"
"4","Learn Bench India-Final Year IEEE Project Center...","Chennai"
"5","PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING...","Chennai"
"6","Python Training","Chennai"
"7","P.S.N.A College of Engineering and Technology,...","Chennai"
"8","DR MGR University","Chennai"
"9","CSI College of Engineering","Chennai"
"10","Hindustan College of Engineering and Technology,...","Chennai"
"11","Tableau Training Course in Guindy","Chennai"
"12","Francis Xavier Engineering College, Tirunalveli.","Chennai"
"13","Easwari Engineering College, Chennai","Chennai"
"14","VELAMMAL ENGINEERING COLLEGE","Chennai"
"15","University College of Engineering Ramanathapuram","Chennai"
"16","R.V.S College of Engineering and Technology,...","Chennai"
"17","Sansbound – The Networking School","Chennai"
"18","Sree Sastha Institute of Engineering and...","Chennai"
"19","Sasurie College of Engineering","Chennai"
"20","Syed Ammal Engineering College","Chennai"
"21","ADHIPARASAKTHI ENGINEERING COLLEGE","Chennai"
"22","S.N.S College of Technology","Chennai"
"23","Karpagam College of Engineering","Chennai"
"24","Softlogic Systems","Chennai"
"25","SAMS Marine Engineering College","Chennai"
"26","Panimalar Engineering College","Chennai"
"27","Greens Technology","Chennai"
"28","International Maritime Academy","Chennai"
"29","Sri Venkateswara College of Engineering, Chennai","Chennai"
"30","Marina Maritime Academy , Chennai","Chennai"
"31","School of Maritime Studies – Vels University","Chennai"
"32","P.S.G college of Technology","Chennai"
"33","Karunya University","Chennai"
"34","ST JOSEPH’S COLLEGE OF ENGINEERING","Chennai"
"35","DMI College of engineering, Chennai","Chennai"
"36","Mepco Schlenk Engineering College","Chennai"
"37","Sathyabama University","Chennai"
"38","T.J Institute of Technology, Kancheepuram","Chennai"
"39","RJP Infotek Pvt Ltd","Chennai"
"40","Adhiparasakthi College Of Engineering, Vellore","Chennai"
"41","Er. Perumal Manimekalai College of Engineering,...","Chennai"
"42","V.L.B Janakiammal College of Engineering and...","Chennai"
"43","MEENAKSHI COLLEGE OF ENGINEERING","Chennai"
"44","J.J College of Engineering and Technology,...","Chennai"
"45","Mohamed Sathak Engineering College, Ramanathapuram","Chennai"
"46","Besant Technologies Chennai","Chennai"
"47","Sri Krishna College of Engineering &...","Chennai"
"48","APOLLO ENGINEERING COLLEGE","Chennai"
"49","P.S.G college of Technology, Coimbatore.","Chennai"
"50","Paavai Engineering College, Namakkal.","Chennai"
